x,y,especie,date,precision
5.28142,59.426132,"Abies alba",2025-01-01,25
11.100392,59.60102,"Abies alba",2025-01-02,5
7.843954,58.090092,"Abies alba",2025-01-03,125
12.86053,56.74055,"Abies alba",2025-01-04,334
15.88952,56.77993,"Abies alba",2025-01-03,10
11.93546,57.7339,"Abies alba",2025-01-04,150
13.334947,47.942115,"Abies alba",2025-01-01,50
13.334089,47.936584,"Abies alba",2025-01-01,50
13.318401,47.933641,"Abies alba",2025-01-01,5
16.101091,48.195765,"Abies alba",2025-01-02,17
13.358679,47.938367,"Abies alba",2025-01-01,50
13.329609,47.933244,"Abies alba",2025-01-01,150
6.3,52.35,"Abies alba",2025-01-04,5000
13.490077,48.095136,"Abies alba",2025-01-01,64
13.327523,47.924323,"Abies alba",2025-01-01,50
13.325205,47.943628,"Abies alba",2025-01-01,50
13.323279,47.932764,"Abies alba",2025-01-01,50
5.7,51.95,"Abies alba",2025-01-04,5000
13.496716,48.009198,"Abies alba",2025-01-04,30
13.282227,47.681966,"Abies alba",2025-01-04,5
16.093874,48.181384,"Abies alba",2025-01-01,3
9.648984,45.719833,"Abies alba",2025-01-01,8
20.639733,51.225108,"Abies alba",2025-01-06,4
13.338222,47.796172,"Abies alba",2025-01-04,NA
12.846322,46.818375,"Abies alba",2025-01-05,4
16.199783,48.041939,"Abies alba",2025-01-03,NA
15.950955,45.901242,"Abies alba",2025-01-02,5
-0.737262,42.986085,"Abies alba",2025-01-02,NA
15.968433,47.805162,"Abies alba",2025-01-02,NA
4.107572,47.013148,"Abies alba",2025-01-01,8
15.957804,47.80035,"Abies alba",2025-01-02,NA
12.820572,46.828717,"Abies alba",2025-01-04,13
16.278255,46.908275,"Abies alba",2025-01-06,4
16.19026,48.047401,"Abies alba",2025-01-03,NA
13.689438,54.002543,"Abies alba",2025-01-01,8
16.195987,48.040805,"Abies alba",2025-01-03,NA
9.725464,47.373629,"Abies alba",2025-01-11,5
11.335081,47.270607,"Abies alba",2025-01-05,4
9.72481,47.373434,"Abies alba",2025-01-11,16
12.505313,55.807148,"Abies alba",2025-01-08,39
9.710691,48.749737,"Abies alba",2025-01-04,250
8.228936,48.127502,"Abies alba",2025-01-09,250
7.950153,51.616657,"Abies alba",2025-01-07,250
7.950153,51.616657,"Abies alba",2025-01-07,250
9.717082,48.74305,"Abies alba",2025-01-04,250
11.848,58.25058,"Abies alba",2025-01-11,25
12.13286,57.73479,"Abies alba",2025-01-10,25
11.89949,58.2932,"Abies alba",2025-01-10,25
17.62792,59.78909,"Abies alba",2025-01-09,72
12.756078,46.83592,"Abies alba",2025-01-11,571
2.447597,41.776992,"Abies alba",2025-01-12,NA
14.866103,50.765049,"Abies alba",2025-01-11,NA
20.002806,49.468239,"Abies alba",2025-01-05,NA
4.65,52.65,"Abies alba",2025-01-15,5000
12.992475,47.751686,"Abies alba",2025-01-18,5
13.261911,47.742112,"Abies alba",2025-01-14,24
9.578793,47.246865,"Abies alba",2025-01-13,5
15.5075,58.39582,"Abies alba",2025-01-17,100
17.63953,59.82542,"Abies alba",2025-01-14,100
15.5075,58.39582,"Abies alba",2025-01-17,100
11.91487,58.37989,"Abies alba",2025-01-19,25
17.6299,59.79265,"Abies alba",2025-01-18,72
7.999569,63.007128,"Abies alba",2025-01-26,5
7.219868,62.741965,"Abies alba",2025-01-18,5
8.162165,62.91181,"Abies alba",2025-01-19,5
7.218619,62.742274,"Abies alba",2025-01-18,5
8.117087,62.956249,"Abies alba",2025-01-26,10
7.999812,63.006961,"Abies alba",2025-01-26,5
8.001186,63.010227,"Abies alba",2025-01-26,5
8.16256,62.911949,"Abies alba",2025-01-19,5
8.163638,62.912035,"Abies alba",2025-01-19,5
7.215223,62.742122,"Abies alba",2025-01-18,5
10.461214,63.45399,"Abies alba",2025-01-27,25
8.00009,63.008739,"Abies alba",2025-01-26,5
13.282408,47.847796,"Abies alba",2025-01-26,79
13.212834,47.855232,"Abies alba",2025-01-26,8
12.881367,47.993401,"Abies alba",2025-01-21,16
13.269095,47.845698,"Abies alba",2025-01-26,14
11.401584,47.293873,"Abies alba",2025-01-25,100
13.08371,47.72385,"Abies alba",2025-01-20,3
13.28086,47.847896,"Abies alba",2025-01-26,73
13.278027,47.854957,"Abies alba",2025-01-26,5
13.282739,47.848056,"Abies alba",2025-01-26,9
13.274777,47.84599,"Abies alba",2025-01-26,4
13.282478,47.847887,"Abies alba",2025-01-26,15
13.282157,47.855479,"Abies alba",2025-01-26,16
13.27381,47.853417,"Abies alba",2025-01-26,24
13.268887,47.850475,"Abies alba",2025-01-26,10
4.15,51.95,"Abies alba",2025-01-26,5000
13.79914,47.927843,"Abies alba",2025-01-25,2
13.278005,47.845716,"Abies alba",2025-01-26,2
5.708874,58.937952,"Abies alba",2025-01-31,10
10.726352,59.378446,"Abies alba",2025-01-31,10
5.988547,58.538047,"Abies alba",2025-01-31,10
12.909978,49.116325,"Abies alba",2025-01-09,7
13.216018,47.82549,"Abies alba",2025-01-27,48
12.916811,49.123596,"Abies alba",2025-01-02,4
12.922845,49.113497,"Abies alba",2025-01-21,4
16.099655,48.181306,"Abies alba",2025-01-27,4
13.144339,47.56443,"Abies alba",2025-01-30,3
13.462238,47.994351,"Abies alba",2025-01-31,3
15.77254,59.66496,"Abies alba",2025-01-20,75
16.09639,59.71776,"Abies alba",2025-01-25,10
17.0759,59.5793,"Abies alba",2025-01-28,10
17.07483,59.57719,"Abies alba",2025-01-28,15
17.07532,59.57719,"Abies alba",2025-01-28,15
17.07507,59.57681,"Abies alba",2025-01-28,15
17.07531,59.57756,"Abies alba",2025-01-28,10
16.56293,59.10169,"Abies alba",2025-01-26,25
16.09576,59.71934,"Abies alba",2025-01-25,10
17.29509,59.38373,"Abies alba",2025-01-26,64
17.07603,59.57868,"Abies alba",2025-01-28,10
11.95179,57.74612,"Abies alba",2025-01-30,25
17.6204,59.83422,"Abies alba",2025-01-28,50
10.050624,57.490679,"Abies alba",2025-01-26,5
19.207527,49.808243,"Abies alba",2025-01-02,NA
-1.605021,48.065335,"Abies alba",2025-01-06,31
16.273308,46.890408,"Abies alba",2025-01-13,14
19.209148,49.808865,"Abies alba",2025-01-02,NA
16.183847,48.057327,"Abies alba",2025-01-18,NA
12.684888,46.880162,"Abies alba",2025-01-19,14
8.417819,48.019829,"Abies alba",2025-01-12,NA
9.423802,48.846224,"Abies alba",2025-01-18,42
16.480767,47.436038,"Abies alba",2025-01-19,3
12.823167,46.82537,"Abies alba",2025-01-19,32
-2.02229,48.427881,"Abies alba",2025-01-21,8
6.910672,46.395128,"Abies alba",2025-01-21,8
7.903834,49.961779,"Abies alba",2025-01-25,8
10.702583,47.244297,"Abies alba",2025-01-25,4
15.878024,47.964825,"Abies alba",2025-01-25,NA
15.76149,47.070148,"Abies alba",2025-01-26,NA
14.516495,51.128697,"Abies alba",2025-01-26,8
15.829688,46.941507,"Abies alba",2025-01-27,NA
11.40228,47.294432,"Abies alba",2025-01-25,197
23.183887,48.698593,"Abies alba",2025-01-26,82
12.762967,46.82397,"Abies alba",2025-01-31,26
15.62398,46.865978,"Abies alba",2025-01-18,NA
4.74535,50.95065,"Abies alba",2025-01-23,6
4.58268,51.24539,"Abies alba",2025-01-24,9
3.67865,51.0244,"Abies alba",2025-01-30,25
4.58336,51.24564,"Abies alba",2025-01-24,1
4.5827,51.24502,"Abies alba",2025-01-24,9
7.5381,47.46823,"Abies alba",2025-01-20,3535
9.32836,47.45284,"Abies alba",2025-01-25,3535
