"x"
"Fagus sylvatica"
"Abies alba"
"Acer pseudoplatanus"
"Adenostyles alliariae subsp. pyrenaica"
"Androcymbium europaeum"
"Antirrhinum lopesianum"
"Apium repens"
"Armeria velutina"
"Berberis vulgaris"
"Betula celtiberica"
"Betula pendula"
"Buxus sempervirens"
"Cardamine heptaphylla"
"Carduus myriacanthus"
"Castanea sativa"
"Centaurea citricolor"
"Coincya rupestris"
"Culcita macrocarpa"
"Daphne laureola"
"Deschampsia flexuosa"
"Erica vagans"
"Festuca elegans"
"Galium odoratum"
"Galium rotundifolium"
"Gaudinia hispanica"
"Holcus setiglumis"
"Hymenostemma pseudanthemis"
"Ilex aquifolium"
"Juniperus oxycedrus"
"Launaea arborescens"
"Linaria coutinhoi"
"Linaria intricata"
"Linaria tursica"
"Luzula nivea"
"Luzula nutans"
"Luzula sylvatica subsp. henriquesii"
"Lycium intricatum"
"Lysimachia nemorum"
"Marsilea batardae"
"Marsilea strigosa"
"Maytenus senegalensis"
"Meconopsis cambrica"
"Melica uniflora"
"Mercurialis perennis"
"Micropyropsis tuberosa"
"Myrtus communis"
"Narcissus cavanillesii"
"Narcissus fernandesii"
"Narcissus viridiflorus"
"Omphalodes nitida"
"Ononis natrix"
"Orobanche densiflora"
"Oxalis acetosella"
"Paeonia coriacea"
"Periploca angustifolia"
"Physospermum cornubiense"
"Picris willkommii"
"Pinus sylvestris"
"Pinus uncinata"
"Plantago algarbiensis"
"Prenanthes purpurea"
"Quercus ilex"
"Quercus robur"
"Quercus rotundifolia"
"Quercus suber"
"Rosa arvensis"
"Ruscus aculeatus"
"Sanguisorba hybrida"
"Saxifraga hirsuta"
"Saxifraga spathularis"
"Saxifraga x polita"
"Scilla hyacinthoides"
"Scilla odorata"
"Silene mariana"
"Smilax aspera"
"Sorbus aucuparia"
"Spiranthes aestivalis"
"Symphytum tuberosum"
"Taxus baccata"
"Thymelaea broteriana"
"Thymus carnosus"
"Ulmus glabra"
"Valeriana pyrenaica"
"Veronica micrantha"
"Withania frutescens"
"Ziziphus lotus"
"Abies pinsapo"
"Acanella arbuscula"
"Acanthella acuta"
"Holcus setiglumis"
"Scilla odorata"
"Acarospora placodiiformis"
"Acarospora reagens"
"Acer campestre"
"Deschampsia flexuosa"
"Acer monspessulanum"
"Acer opalus"
"Acer opalus subsp. granatense"
"Acer opalus subsp. opalus"
"Acer platanoides"
"Aceras anthropophorum"
